idx	section	verdict	operation	subsection	missing
17	01	NO COVERAGE	`_reader_loop` — response missing id warning	1.5 `src/intellicrack/bridges/named_pipe_client.py`	The `_logger.warning("pipe_response_missing_id", ...)` branch never tested
18	01	NO COVERAGE	`_reader_loop` — no waiter for response id (no-op log)	1.5 `src/intellicrack/bridges/named_pipe_client.py`	The `_logger.debug("pipe_response_no_waiter", ...)` branch never tested
19	01	NO COVERAGE	`_send_message` — oversized payload raises ToolError	1.5 `src/intellicrack/bridges/named_pipe_client.py`	`max_message_size` enforcement never tested; no test constructs a payload exceeding the limit
20	01	NO COVERAGE	`_read_message` — malformed JSON raises ToolError	1.5 `src/intellicrack/bridges/named_pipe_client.py`	`json.JSONDecodeError` path never exercised
21	01	NO COVERAGE	`_read_message` — invalid length raises ToolError	1.5 `src/intellicrack/bridges/named_pipe_client.py`	`length <= 0 or length > max_message_size` path never exercised
22	01	NO COVERAGE	`_read_message` — non-dict payload raises ToolError	1.5 `src/intellicrack/bridges/named_pipe_client.py`	`if not isinstance(payload, dict)` path never exercised
23	01	NO COVERAGE	`_read_exact` — timeout raises ToolError	1.5 `src/intellicrack/bridges/named_pipe_client.py`	Write timeout path via `_write_bytes` is also untested in isolation
24	01	NO COVERAGE	`_cancel_io`	1.5 `src/intellicrack/bridges/named_pipe_client.py`	Never directly tested; only invoked internally on timeout/close, no test asserts it was called or that it correctly unblocks pending I/O
25	01	NO COVERAGE	`__dir__` — returns sorted combined set	1.6 `src/intellicrack/bridges/__init__.py`	Never called in any test; the sorted-union logic is entirely untested
26	02	WEAK	`decompile(address)`	CutterBridge Methods (core analysis surface — lines 400–3391)	No specific C token/structure validated; decompile timeout; function not found
27	02	**WEAK**	`read_bytes(address, size)`	CutterBridge Methods (core analysis surface — lines 400–3391)	No specific byte values asserted; negative size; zero-size
28	02	**NONE**	`save_project(name)`	Operations with ZERO real coverage (all in lines 3394–4551)
29	02	**NONE**	`open_project(name)`	Operations with ZERO real coverage (all in lines 3394–4551)
30	02	**NONE**	`list_projects()`	Operations with ZERO real coverage (all in lines 3394–4551)
31	02	**NONE**	`write_xor(address, length, key)`	Operations with ZERO real coverage (all in lines 3394–4551)
32	02	**NONE**	`write_add(address, length, value)`	Operations with ZERO real coverage (all in lines 3394–4551)
33	02	**NONE**	`write_sub(address, length, value)`	Operations with ZERO real coverage (all in lines 3394–4551)
34	02	**NONE**	`write_from_file(file_path, address)`	Operations with ZERO real coverage (all in lines 3394–4551)
35	02	**NONE**	`write_to_file(file_path, size, address)`	Operations with ZERO real coverage (all in lines 3394–4551)
36	02	**NONE**	`write_value(address, value, size)`	Operations with ZERO real coverage (all in lines 3394–4551)
37	02	**NONE**	`write_string(address, text)`	Operations with ZERO real coverage (all in lines 3394–4551)
38	02	**NONE**	`search_crypto_constants()`	Operations with ZERO real coverage (all in lines 3394–4551)
39	02	**NONE**	`search_magic()`	Operations with ZERO real coverage (all in lines 3394–4551)
40	02	**NONE**	`search_value(value, size)`	Operations with ZERO real coverage (all in lines 3394–4551)
41	02	**NONE**	`compare_bytes(hex_data, address)`	Operations with ZERO real coverage (all in lines 3394–4551)
42	02	**NONE**	`compare_disassembly(file_path, address)`	Operations with ZERO real coverage (all in lines 3394–4551)
43	02	**NONE**	`get_segments()`	Operations with ZERO real coverage (all in lines 3394–4551)
44	02	**WEAK**	`hexdump(address, length)`	Operations with ZERO real coverage (all in lines 3394–4551)
45	02	**NONE**	`hexdump_words(address, length)`	Operations with ZERO real coverage (all in lines 3394–4551)
46	02	**NONE**	`disassemble_function(address)`	Operations with ZERO real coverage (all in lines 3394–4551)
47	02	**NONE**	`get_basic_blocks(address)`	Operations with ZERO real coverage (all in lines 3394–4551)
48	02	**NONE**	`attach(pid)`	Operations with ZERO real coverage (all in lines 3394–4551)
49	02	**NONE**	`detach()`	Operations with ZERO real coverage (all in lines 3394–4551)
50	02	**NONE**	`set_breakpoint(address, bp_type, condition)`	Operations with ZERO real coverage (all in lines 3394–4551)
51	02	**NONE**	`remove_breakpoint(address)`	Operations with ZERO real coverage (all in lines 3394–4551)
52	02	**NONE**	`get_breakpoints()`	Operations with ZERO real coverage (all in lines 3394–4551)
53	02	**NONE**	`step_into()`	Operations with ZERO real coverage (all in lines 3394–4551)
54	02	**NONE**	`step_over()`	Operations with ZERO real coverage (all in lines 3394–4551)
55	02	**NONE**	`run()`	Operations with ZERO real coverage (all in lines 3394–4551)
56	02	**NONE**	`get_registers()`	Operations with ZERO real coverage (all in lines 3394–4551)
57	02	**NONE**	`set_register(register, value)`	Operations with ZERO real coverage (all in lines 3394–4551)
58	02	**NONE**	`read_memory(address, size)`	Operations with ZERO real coverage (all in lines 3394–4551)
59	02	**NONE**	`write_memory(address, data)`	Operations with ZERO real coverage (all in lines 3394–4551)
60	02	**NONE**	`get_memory_regions()`	Operations with ZERO real coverage (all in lines 3394–4551)
61	02	**NONE**	`get_threads()`	Operations with ZERO real coverage (all in lines 3394–4551)
62	02	**NONE**	`get_modules()`	Operations with ZERO real coverage (all in lines 3394–4551)
63	03	WEAK — not directly called; initialization logic untested	`initialize(tool_path)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Non-existent path, path without plugin DLL, Windows vs. non-Windows
64	03	NO COVERAGE	`load(path, args)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All paths
65	03	NO COVERAGE	`attach(pid)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Invalid PID, already-attached, architecture detection failure
66	03	NO COVERAGE	`detach()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Process crash during detach, state cleanup
67	03	WEAK — only confirms ToolError on missing plugin	`spawn(path, args)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Real spawn, Windows path quirks
68	03	NO COVERAGE	`shutdown()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Cleanup-phase exception propagation, state reset
69	03	REAL — fake pipe, verification path, absent path, protocol-violation path all gated	`set_breakpoint(address, type, condition)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Conditional breakpoint (`bpcond`) path partially via audit6 F-0026
70	03	WEAK — only checks ToolError; success path is manual dict insert then dict read (tautology)	`remove_breakpoint(address)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Actual removal confirmed by debugger
71	03	WEAK — only ToolError path; no success-path coverage	`set_watchpoint(...)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
72	03	NO COVERAGE	`remove_watchpoint(id)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
73	03	FAKE GATE — only checks ToolError; if get_registers() returned garbage data after connection fix this test still passes	`get_registers()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Real register values never verified
74	03	FAKE GATE — only ToolError path	`set_register(name, value)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Real write + read-back
75	03	WEAK — `assert len(memory_map) > 0` only; no protection/base/size field checks	`get_memory_regions()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Specific region coverage
76	03	NO COVERAGE	`get_stack_trace()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
77	03	REAL — hex string, int, unparseable string, None, bool all tested via fake pipe	`evaluate_expression(expression)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)
78	03	WEAK — `assert len(threads) > 0` only	`get_threads()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Thread field validation (TID, state, start_address)
79	03	NO COVERAGE	`execute_til_return()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
80	03	NO COVERAGE	`skip_instruction()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
81	03	NO COVERAGE	`set_ip(address)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
82	03	NO COVERAGE	`get_labels(start, end)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
83	03	NO COVERAGE	`get_comments(start, end)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
84	03	WEAK — coverage claimed via monkeypatching; not independently verified from tested file sections	`set_breakpoint_on_api(module, fn)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Real API resolution
85	03	NO COVERAGE	`trace_start(...)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
86	03	NO COVERAGE	`trace_stop()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
87	03	NO COVERAGE	`set_exception_config(code, handling)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
88	03	NO COVERAGE	`get_module_imports(module_name)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
89	03	NO COVERAGE	`find_references(address)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
90	03	NO COVERAGE	`find_string_references(module)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
91	03	NO COVERAGE	`find_intermodular_calls(module)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
92	03	NO COVERAGE	`get_function_cfg(address, max_blocks)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
93	03	NO COVERAGE	`clear_database()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
94	03	NO COVERAGE	`get_patches()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
95	03	NO COVERAGE	`restore_patch(address)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
96	03	NO COVERAGE	`export_patches(path)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
97	03	NO COVERAGE	`get_seh_chain()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
98	03	FAKE GATE — only checks tool definition's `returns` field for "address" keyword; no data-flow coverage	`read_peb()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Real PEB read from live process
99	03	NO COVERAGE	`read_teb(tid)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
100	03	NO COVERAGE	`get_pe_directories(module_name)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
101	03	NO COVERAGE	`remove_watch(index)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
102	03	NO COVERAGE	`get_watches()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
103	03	NO COVERAGE	`set_logging_breakpoint(address, log_text)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
104	03	NO COVERAGE	`configure_breakpoint(...)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
105	03	NO COVERAGE	`set_dll_breakpoint(dll_name, event)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
106	03	NO COVERAGE	`trace_into(condition, max_steps)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
107	03	NO COVERAGE	`trace_over(condition, max_steps)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
108	03	NO COVERAGE	`get_trace_record(address, size)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
109	03	NO COVERAGE	`step_count(count, step_type)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
110	03	NO COVERAGE	`analyze_entropy(address, size, block_size)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Chunked read across unreadable page (F-0021)
111	03	NO COVERAGE	`yara_scan(rule_text, rule_path)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	No yara installed, empty rule, file not found, real match
112	03	WEAK — only checks debug log name; no verification of what was sent to debugger	`script_load(path)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Real script load result
113	03	NO COVERAGE	`script_run()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
114	03	NO COVERAGE	`script_cmd(line)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
115	03	NO COVERAGE	`script_abort()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
116	03	NO COVERAGE	`get_handles()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
117	03	NO COVERAGE	`close_handle(handle)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
118	03	NO COVERAGE	`detect_anti_debug()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
119	03	NO COVERAGE	`reconstruct_imports(oep, output_path)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
120	03	NO COVERAGE	`goto_address(address)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
121	03	NO COVERAGE	`get_tls_callbacks(module_name)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
122	03	NO COVERAGE	`break_on_tls_callbacks(module_name)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
123	03	NO COVERAGE	`get_resources(module_name)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Real resource tree walk (F-0019)
124	03	NO COVERAGE	`get_privileges()`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
125	03	NO COVERAGE	`adjust_privilege(name, enable)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	All
126	03	REAL — pipe/unknown/real-error classifications via fake pipe, structured code override	`_classify_legacy_error(message)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)
127	03	NO COVERAGE	`_coerce_address(value)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	bool input, hex string, decimal string, None, non-parseable
128	03	WEAK — no direct test	`_x64dbg_error_code(exc)`	1. Operation Inventory — X64DbgBridge (`x64dbg.py`)	Missing key, non-string value
129	03	NO COVERAGE	`is_available()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
130	03	NO COVERAGE	`attach_by_name(name, cancellable_id)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
131	03	NO COVERAGE	`spawn(path, args, ...)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
132	03	NO COVERAGE	`resume()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Not spawned
133	03	WEAK — only exercised in fixture teardown with ToolError suppressed	`detach(kill_spawned)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	kill_spawned=True path, double-detach
134	03	NO COVERAGE	`get_hooks()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
135	03	NO COVERAGE	`execute_script(script)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Real execution; timeout raises (audit5 test_f0021 covers _execute_script_and_wait, not this public method)
136	03	NO COVERAGE	`unload_all_scripts()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
137	03	NO COVERAGE	`set_message_handler(handler)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
138	03	NO COVERAGE	`intercept_return(target, return_value)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
139	03	WEAK — only `pytest.raises(ToolError)`, no message/code check	`resume_child(pid)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)
140	03	NO COVERAGE	`post_message(script_id, message)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
141	03	NO COVERAGE	`eternalize_script(script_id)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
142	03	NO COVERAGE	`rpc_call(script_id, method_name, args)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
143	03	NO COVERAGE	`create_cancellable()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
144	03	NO COVERAGE	`cancel(cancellable_id)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
145	03	NO COVERAGE	`patch_code(address, hex_data)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
146	03	NO COVERAGE	`allocate_string(value, encoding)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
147	03	NO COVERAGE	`enumerate_symbols(module_name)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
148	03	NO COVERAGE	`load_module(path)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
149	03	NO COVERAGE	`find_module_by_address(address)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
150	03	NO COVERAGE	`find_functions_matching(pattern)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
151	03	NO COVERAGE	`disassemble_instruction(address)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
152	03	NO COVERAGE	`get_backtrace(context_address, backtracer)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
153	03	NO COVERAGE	`set_exception_handler()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
154	03	NO COVERAGE	`revert_hook(target)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
155	03	NO COVERAGE	`flush_interceptor()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
156	03	NO COVERAGE	`call_system_function(address, ...)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
157	03	NO COVERAGE	`stalker_add_call_probe(address, callback_code)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
158	03	NO COVERAGE	`stalker_remove_call_probe(probe_id)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
159	03	NO COVERAGE	`enumerate_applications()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
160	03	NO COVERAGE	`inject_library_file(pid, path, ...)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
161	03	NO COVERAGE	`inject_library_blob(pid, blob_hex, ...)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
162	03	NO COVERAGE	`objc_enumerate_classes()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on Windows
163	03	NO COVERAGE	`objc_enumerate_protocols()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on Windows
164	03	NO COVERAGE	`objc_enumerate_loaded_classes(pattern)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on Windows
165	03	NO COVERAGE	`objc_choose(class_name, limit)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on Windows
166	03	NO COVERAGE	`objc_get_class_methods(class_name)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on Windows
167	03	NO COVERAGE	`objc_hook_method(...)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on Windows
168	03	WEAK — ToolError swallowed in finally; no positive test	`shutdown()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)
169	03	NO COVERAGE	`java_enumerate_loaded_classes(pattern)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on non-Android
170	03	NO COVERAGE	`java_choose(class_name, limit)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on non-Android
171	03	NO COVERAGE	`java_use(class_name)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on non-Android
172	03	NO COVERAGE	`java_hook_method(...)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on non-Android
173	03	NO COVERAGE	`java_deoptimize()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Should raise on non-Android
174	03	NO COVERAGE	`create_cmodule(code, symbols)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
175	03	NO COVERAGE	`kernel_enumerate_modules()`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Raises without kernel access
176	03	NO COVERAGE	`kernel_enumerate_ranges(protection)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Raises without kernel access
177	03	NO COVERAGE	`kernel_read(address, size)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Raises without kernel access
178	03	NO COVERAGE	`kernel_write(address, hex_data)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Raises without kernel access
179	03	NO COVERAGE	`kernel_alloc(size)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Raises without kernel access
180	03	NO COVERAGE	`kernel_protect(address, size, protection)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	Raises without kernel access
181	03	NO COVERAGE	`socket_listen(port, family)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
182	03	NO COVERAGE	`socket_connect(host, port, family)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
183	03	NO COVERAGE	`socket_type(handle)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
184	03	NO COVERAGE	`socket_local_address(handle)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
185	03	NO COVERAGE	`socket_peer_address(handle)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
186	03	NO COVERAGE	`file_read_target(path)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
187	03	NO COVERAGE	`file_write_target(path, hex_data)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
188	03	NO COVERAGE	`sqlite_open(path)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
189	03	NO COVERAGE	`sqlite_exec(script_id, sql)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
190	03	NO COVERAGE	`sqlite_dump(path)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
191	03	NO COVERAGE	`write_code(address, code, architecture)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
192	03	NO COVERAGE	`cloak_add_thread(thread_id)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
193	03	NO COVERAGE	`cloak_remove_thread(thread_id)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
194	03	NO COVERAGE	`cloak_add_range(address, size)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
195	03	NO COVERAGE	`cloak_remove_range(address, size)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
196	03	NO COVERAGE	`monitor_path(path)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
197	03	NO COVERAGE	`stop_monitor(monitor_id)`	2. Operation Inventory — FridaBridge (`frida_bridge.py`)	All
198	04	**NO COVERAGE**	`decode_protection`	Operation inventory — win32_types.py	All inputs
199	04	**WEAK**	PROCESSENTRY32 struct	Operation inventory — win32_types.py	No sizeof or field-offset test for PROCESSENTRY32 directly
200	04	**NO COVERAGE**	MODULEENTRY32 struct	Operation inventory — win32_types.py	All
201	04	**NO COVERAGE**	TOKEN_PRIVILEGES / LUID_AND_ATTRIBUTES structs	Operation inventory — win32_types.py	All
202	04	**NO COVERAGE**	STACKFRAME64, SYMBOL_INFO layouts	Operation inventory — win32_types.py	All
203	04	**NO COVERAGE**	SERVICE_STATUS_PROCESS struct	Operation inventory — win32_types.py	All
204	04	**NO COVERAGE**	JOBOBJECT_EXTENDED_LIMIT_INFORMATION	Operation inventory — win32_types.py	All
205	04	**WEAK**	PROCESS_MITIGATION_* structs	Operation inventory — win32_types.py	No sizeof / no field offset test
206	04	**WEAK**	`inject_dll`	Operation inventory — process.py (selected critical operations)	No successful injection test
207	04	**WEAK**	`adjust_token_privilege`	Operation inventory — process.py (selected critical operations)	Only error path; no successful adjustment test
208	04	**WEAK**	`get_windows`	Operation inventory — process.py (selected critical operations)	Only smoke test; no assertion on returned window data
209	04	**NO COVERAGE**	`set_thread_context`	Operation inventory — process.py (selected critical operations)	Entire operation
210	04	**WEAK**	`stack_walk`	Operation inventory — process.py (selected critical operations)	No successful stack walk test
211	04	**WEAK**	`get_seh_chain`	Operation inventory — process.py (selected critical operations)	Smoke test only; no assertion on chain content
212	04	**WEAK**	`remove_privilege`	Operation inventory — process.py (selected critical operations)	No assertion on privilege being absent after removal
213	04	**WEAK**	`detect_kernel_debugger`	Operation inventory — process.py (selected critical operations)	Only bool return; no positive detection
214	04	**NO COVERAGE**	`pipe_write`	Operation inventory — process.py (selected critical operations)	Entire write path
215	04	**WEAK**	`detect_dotnet`	Operation inventory — process.py (selected critical operations)	No positive detection of a real managed process
216	04	**WEAK**	`get_job_info`	Operation inventory — process.py (selected critical operations)	Only checks `in_job` key exists; no assertion on `in_job` value vs known truth
217	04	**WEAK**	`get_tls_values`	Operation inventory — process.py (selected critical operations)	Checks `isinstance(result, list)` as sole assertion on the no-argument path
218	04	**WEAK**	`get_fiber_data`	Operation inventory — process.py (selected critical operations)	Checks `isinstance(result, dict)` only — no field content assertion
219	04	**NO COVERAGE**	`shutdown`	Operation inventory — process.py (selected critical operations)	Entire shutdown sequence
220	04	**WEAK**	`ToolInstaller._install_frida`	Operation inventory — installer.py	Uses subprocess substitute; no real pip test
221	04	**WEAK**	`ToolInstaller._probe_version_command`	Operation inventory — installer.py	Uses subprocess substitute
222	04	**WEAK**	`ToolInstaller._extract_zip`	Operation inventory — installer.py	See note C — Zip Slip path never hit
223	04	**WEAK**	`ToolInstaller._get_latest_release_url`	Operation inventory — installer.py	Uses pre-built response dict; no live API call
224	04	**NO COVERAGE**	`build_x64dbg_plugin`	Operation inventory — installer.py	Entire cmake build
